Accuracy: 0.4392, lambda: 9.695546436465859e-06, eta: 0.011191124539600973
Accuracy: 0.439, lambda: 2.4305833513254106e-05, eta: 0.011239446698984247
Accuracy: 0.4372, lambda: 1.0779343042390871e-06, eta: 0.012320150920213897
Accuracy: 0.4369, lambda: 1.3004288011862929e-08, eta: 0.012081331629411798
Accuracy: 0.4365, lambda: 9.756106598938816e-06, eta: 0.010649640674051485
Accuracy: 0.436, lambda: 1.3635471991994548e-07, eta: 0.010098871536730057
Accuracy: 0.4304, lambda: 7.433317826902139e-08, eta: 0.015731267173481077
Accuracy: 0.4297, lambda: 5.5078993802857767e-05, eta: 0.013852399951629464
Accuracy: 0.4286, lambda: 7.694159095383858e-06, eta: 0.014507560891962588
Accuracy: 0.4285, lambda: 1.3636859239131888e-08, eta: 0.020402511398618334
